"","_id","RSN","YEAR_REGISTERED","YEAR_EVALUATED","YEAR_BUILT","PROPERTY_TYPE","WARD","WARDNAME","SITE_ADDRESS","CONFIRMED_STOREYS","CONFIRMED_UNITS","EVALUATION_COMPLETED_ON","SCORE","RESULTS_OF_SCORE","NO_OF_AREAS_EVALUATED","ENTRANCE_LOBBY","ENTRANCE_DOORS_WINDOWS","SECURITY","STAIRWELLS","LAUNDRY_ROOMS","INTERNAL_GUARDS_HANDRAILS","GARBAGE_CHUTE_ROOMS","GARBAGE_BIN_STORAGE_AREA","ELEVATORS","STORAGE_AREAS_LOCKERS","INTERIOR_WALL_CEILING_FLOOR","INTERIOR_LIGHTING_LEVELS","GRAFFITI","EXTERIOR_CLADDING","EXTERIOR_GROUNDS","EXTERIOR_WALKWAYS","BALCONY_GUARDS","WATER_PEN_EXT_BLDG_ELEMENTS","PARKING_AREA","OTHER_FACILITIES","GRID","LATITUDE","LONGITUDE","X","Y"
"28",2394481,"4155481","2017",NA,"1957","PRIVATE","03","Etobicoke-Lakeshore","2303 LAKE SHORE BLVD W","4","38","2022-12-30","96","Evaluation needs to be conducted in 3 years","15","5","4","5","5","5","5","N/A","5","N/A","N/A","5","5","5","5","4","5","N/A","4","5","N/A","W0336","43.6181573986","-79.4862044027","305864.468","4830685.073"
"29",2394482,"4155480","2017",NA,"1954","PRIVATE","03","Etobicoke-Lakeshore","2309 LAKE SHORE BLVD W","4","28","2022-12-30","70","Evaluation needs to be conducted in 2 years","16","3","3","4","3","3","4","N/A","3","N/A","2","3","4","5","4","3","4","N/A","4","4","N/A","W0336","43.6177159242","-79.4864921975","305843.963","4830639.407"
"30",2394483,"4156367","2017",NA,"1954","PRIVATE","05","York South-Weston","4 GREENBROOK DR","3","23","2022-12-30","79","Evaluation needs to be conducted in 2 years","15","3","5","5","3","4","3","N/A","4","N/A","N/A","4","3","5","4","4","5","N/A","4","3","N/A","W0532","43.697269464","-79.4763543388","306690.437","4839479.496"
"31",2394484,"4156439","2017",NA,"1993","SOCIAL HOUSING","05","York South-Weston","33 GABIAN WAY","18","248","2022-12-30","89","Evaluation needs to be conducted in 3 years","19","5","5","5","4","5","5","4","4","4","5","5","4","5","4","5","5","N/A","4","2","5","W0533","43.6931197205","-79.4688639232","307294.354","4839018.662"
"32",2394485,"4156565","2017",NA,"1968","PRIVATE","05","York South-Weston","15 HARDING AVE","19","335","2022-12-30","74","Evaluation needs to be conducted in 2 years","20","5","4","5","3","3","3","4","4","4","2","3","5","5","3","3","4","4","4","2","4","W0528",NA,NA,"304655.788","4839682.129"
"33",2394486,"4155234","2017",NA,"1947","PRIVATE","03","Etobicoke-Lakeshore","3 NEWHOLM RD","4","25","2022-12-30","79","Evaluation needs to be conducted in 2 years","17","4","5","5","4","4","4","N/A","3","N/A","4","4","3","5","4","4","4","4","3","3","N/A","W0329","43.6360787547","-79.4876301384","305782.438","4832681.407"
"34",2394487,"4155233","2017",NA,"1955","PRIVATE","03","Etobicoke-Lakeshore","5 NEWHOLM RD","4","27","2022-12-30","68","Evaluation needs to be conducted in 2 years","17","3","3","5","3","4","4","N/A","4","N/A","3","3","3","4","2","4","3","3","3","4","N/A","W0329","43.6356446898","-79.4874066551","305800.477","4832633.187"
"35",2394488,"4155227","2017",NA,"1957","PRIVATE","03","Etobicoke-Lakeshore","301 PARK LAWN RD","4","25","2022-12-30","76","Evaluation needs to be conducted in 2 years","18","4","4","5","3","4","5","N/A","4","3","4","3","3","5","4","3","3","5","3","3","N/A","W0329","43.6350512379","-79.4924601948","305392.658","4832567.215"
"36",2394489,"4155473","2017",NA,"1959","SOCIAL HOUSING","03","Etobicoke-Lakeshore","110 STANLEY AVE","3","16","2022-12-30","74","Evaluation needs to be conducted in 2 years","16","3","3","4","3","4","2","N/A","5","N/A","N/A","3","4","5","4","4","4","3","4","4","N/A","W0336","43.6151367665","-79.4949740706","305189.979","4830354.824"
"37",2394490,"4154257","2017",NA,"1960","PRIVATE","07","Humber River-Black Creek","3 DAMASK AVE","3","10","2022-12-30","83","Evaluation needs to be conducted in 2 years","15","3","5","5","3","3","5","N/A","4","N/A","N/A","3","5","5","4","5","5","N/A","3","4","N/A","W0728","43.7416935323","-79.5396641026","301589.804","4844415.332"
